input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה צמודה', 'amortization': 'קרן שווה', 'duration': 144, 'interest': 0.03, 'cpi': 0.022000000000000002, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,144,1001833.3333333334,2504.5833333333335,6957.175925925926,9461.75925925926,1823.9396219135804,996700.097029321
,2,143,996700.097029321,2491.750242573303,6969.93074845679,9461.680991030093,1814.5053048482514,991544.6715857126
,3,142,991544.6715857126,2478.8616789642815,6982.708954828961,9461.570633793242,1805.0302648232869,986366.9928957069
,4,141,986366.9928957069,2465.9174822392674,6995.510587912815,9461.428070152082,1795.514384230956,981166.996692025
,5,140,981166.996692025,2452.9174917300625,7008.335690657322,9461.253182387383,1785.9575451691742,975944.6185465368
,6,139,975944.6185465368,2439.861546366342,7021.184306090193,9461.045852456535,1776.359629440819,970699.7938698874
,7,138,970699.7938698874,2426.7494846747186,7034.056477318024,9460.805961992743,1766.7205185530438,965432.4579111224
,8,137,965432.4579111224,2413.581144777806,7046.95224752644,9460.533392304245,1757.0400937165925,960142.5457573124
,9,136,960142.5457573124,2400.356364393281,7059.871659980238,9460.228024373519,1747.3182358451093,954829.9923331772
,10,135,954829.9923331772,2387.0749808329433,7072.814758023535,9459.889738856478,1737.5548255544488,949494.7324007082
,11,134,949494.7324007082,2373.7368310017705,7085.7815850799125,9459.518416081683,1727.7497431619854,944136.7005587902
,12,133,944136.7005587902,2360.3417513969757,7098.772184652558,9459.113936049534,1717.9028686859194,938755.8312428236
,13,132,938755.8312428236,2346.889578107059,7111.786600324422,9458.67617843148,1708.014081844582,933352.0587243438
,14,131,933352.0587243438,2333.3801468108595,7124.82487575835,9458.20502256921,1698.08326205574,927925.3171106412
,15,130,927925.3171106412,2319.813292776603,7137.887054697239,9457.700347473841,1688.1102884358972,922475.5403443798
,16,129,922475.5403443798,2306.1888508609495,7150.973180964184,9457.162031825133,1678.0950397995955,917002.6622032152
,17,128,917002.6622032152,2292.506655508038,7164.083298462619,9456.589953970657,1668.037394658713,911506.6162994112
,18,127,911506.6162994112,2278.766540748528,7177.217451176466,9455.983991924993,1657.9372312217638,905987.3360794565
,19,126,905987.3360794565,2264.9683401986413,7190.375683170289,9455.34402336893,1647.7944273931917,900444.7548236795
,20,125,900444.7548236795,2251.1118870591986,7203.5580385894355,9454.669925648634,1637.6088607726651,894878.8056458627
,21,124,894878.8056458627,2237.1970141146567,7216.764561660183,9453.96157577484,1627.3804086543714,889289.4214928568
