input_data,month,cur_duration,opening_balance,interest,capital,month_payment,cpi,closing_balance,monthly_income,monthly_investment
"{'number_program': 0, 'amount': 1000000, 'chanel': 'קבועה לא צמודה', 'amortization': 'קרן שווה', 'duration': 156, 'interest': 0.0275, 'cpi': 0, 'month_interest_change': 0, 'interest_change': 0, 'grace': 0, 'payoff_amount': 0, 'payoff_month': 0, 'payoff_format': '', 'full_or_partial_payoff': ''}",1,156,1000000,2291.6666666666665,6410.25641025641,8701.923076923076,0,993589.7435897436,12000,3298.076923076924
,2,155,993589.7435897436,2276.9764957264956,6410.25641025641,8687.232905982906,0,987179.4871794872,12000,3312.7670940170938
,3,154,987179.4871794872,2262.286324786325,6410.256410256411,8672.542735042736,0,980769.2307692309,12000,3327.4572649572638
,4,153,980769.2307692309,2247.5961538461543,6410.256410256411,8657.852564102566,0,974358.9743589745,12000,3342.1474358974338
,5,152,974358.9743589745,2232.9059829059834,6410.256410256411,8643.162393162394,0,967948.7179487181,12000,3356.8376068376056
,6,151,967948.7179487181,2218.2158119658125,6410.256410256411,8628.472222222223,0,961538.4615384617,12000,3371.5277777777774
,7,150,961538.4615384617,2203.5256410256416,6410.256410256412,8613.782051282054,0,955128.2051282054,12000,3386.2179487179455
,8,149,955128.2051282054,2188.8354700854707,6410.256410256412,8599.091880341883,0,948717.948717949,12000,3400.9081196581174
,9,148,948717.948717949,2174.1452991452998,6410.256410256412,8584.40170940171,0,942307.6923076926,12000,3415.598290598289
,10,147,942307.6923076926,2159.455128205129,6410.256410256412,8569.71153846154,0,935897.4358974362,12000,3430.288461538459
,11,146,935897.4358974362,2144.764957264958,6410.256410256413,8555.02136752137,0,929487.1794871798,12000,3444.978632478629
,12,145,929487.1794871798,2130.074786324787,6410.256410256413,8540.331196581199,0,923076.9230769235,12000,3459.668803418801
,13,144,923076.9230769235,2115.384615384616,6410.256410256413,8525.641025641029,0,916666.6666666671,12000,3474.358974358971
,14,143,916666.6666666671,2100.6944444444453,6410.256410256413,8510.950854700859,0,910256.4102564107,12000,3489.049145299141
,15,142,910256.4102564107,2086.0042735042744,6410.256410256414,8496.260683760687,0,903846.1538461543,12000,3503.7393162393128
,16,141,903846.1538461543,2071.314102564104,6410.256410256414,8481.570512820517,0,897435.897435898,12000,3518.4294871794827
,17,140,897435.897435898,2056.623931623933,6410.256410256414,8466.880341880347,0,891025.6410256416,12000,3533.1196581196527
,18,139,891025.6410256416,2041.9337606837619,6410.256410256415,8452.190170940177,0,884615.3846153852,12000,3547.8098290598227
,19,138,884615.3846153852,2027.2435897435912,6410.256410256415,8437.500000000005,0,878205.1282051288,12000,3562.4999999999945
,20,137,878205.1282051288,2012.5534188034203,6410.256410256415,8422.809829059835,0,871794.8717948725,12000,3577.1901709401645
,21,136,871794.8717948725,1997.8632478632494,6410.256410256415,8408.119658119664,0,865384.6153846161,12000,3591.8803418803363
,22,135,865384.6153846161,1983.1730769230785,6410.256410256416,8393.429487179494,0,858974.3589743597,12000,3606.5705128205063
,23,134,858974.3589743597,1968.4829059829076,6410.256410256416,8378.739316239324,0,852564.1025641033,12000,3621.2606837606763
,24,133,852564.1025641033,1953.7927350427367,6410.256410256416,8364.049145299152,0,846153.846153847,12000,3635.950854700848
,25,132,846153.846153847,1939.102564102566,6410.2564102564165,8349.358974358982,0,839743.5897435906,12000,3650.641025641018
,26,131,839743.5897435906,1924.4123931623951,6410.2564102564165,8334.668803418812,0,833333.3333333342,12000,3665.331196581188
,27,130,833333.3333333342,1909.7222222222242,6410.2564102564165,8319.97863247864,0,826923.0769230778,12000,3680.02136752136
,28,129,826923.0769230778,1895.0320512820533,6410.256410256417,8305.28846153847,0,820512.8205128214,12000,3694.71153846153
,29,128,820512.8205128214,1880.3418803418824,6410.256410256417,8290.5982905983,0,814102.564102565,12000,3709.4017094017
,30,127,814102.564102565,1865.6517094017115,6410.256410256417,8275.908119658128,0,807692.3076923087,12000,3724.0918803418717
,31,126,807692.3076923087,1850.9615384615408,6410.256410256418,8261.21794871796,0,801282.0512820523,12000,3738.78205128204
,32,125,801282.0512820523,1836.27136752137,6410.256410256418,8246.527777777788,0,794871.7948717959,12000,3753.4722222222117
,33,124,794871.7948717959,1821.581196581199,6410.256410256418,8231.837606837616,0,788461.5384615395,12000,3768.1623931623835
,34,123,788461.5384615395,1806.8910256410281,6410.256410256419,8217.147435897448,0,782051.2820512832,12000,3782.8525641025517
,35,122,782051.2820512832,1792.2008547008572,6410.256410256419,8202.457264957276,0,775641.0256410268,12000,3797.5427350427235
